Date|1 AUD|1 BGN|1 BRL|1 CAD|1 CHF|1 CNY|1 DKK|1 EUR|1 GBP|1 HKD|1 HRK|100 HUF|1000 IDR|1 ILS|100 INR|100 ISK|100 JPY|100 KRW|1 MXN|1 MYR|1 NOK|1 NZD|100 PHP|1 PLN|1 RON|100 RUB|1 SEK|1 SGD|100 THB|1 TRY|1 USD|1 XDR|1 ZAR
17.Sep 2018|15.657|13.016|5.204|16.760|22.649|3.177|3.413|25.455|28.643|2.780|3.426|7.844|1.466|6.081|30.078|19.918|19.460|1.939|1.159|5.270|2.662|14.345|40.271|5.926|5.482|32.077|2.435|15.893|66.870|3.472|21.811|30.595|1.457
18.Sep 2018|15.668|13.012|5.251|16.706|22.635|3.170|3.411|25.450|28.611|2.774|3.426|7.858|1.465|6.078|29.818|19.945|19.400|1.936|1.154|5.253|2.666|14.339|40.199|5.917|5.474|32.152|2.443|15.878|66.818|3.396|21.761|30.477|1.458
19.Sep 2018|15.785|13.003|5.239|16.802|22.498|3.180|3.409|25.430|28.633|2.779|3.423|7.863|1.465|6.087|30.111|19.805|19.422|1.943|1.163|5.261|2.664|14.382|40.352|5.921|5.465|32.571|2.448|15.899|67.146|3.470|21.796|30.542|1.487
20.Sep 2018|15.814|13.067|5.285|16.842|22.588|3.172|3.427|25.560|28.844|2.768|3.442|7.895|1.462|6.076|30.146|19.722|19.360|1.941|1.160|5.247|2.666|14.485|40.277|5.955|5.492|32.739|2.473|15.906|67.130|3.438|21.710|30.442|1.500
21.Sep 2018|15.837|13.080|5.343|16.833|22.793|3.179|3.430|25.585|28.620|2.786|3.445|7.896|1.468|6.086|30.135|19.772|19.321|1.949|1.152|5.268|2.671|14.530|40.195|5.957|5.492|32.577|2.476|15.948|67.083|3.460|21.756|30.547|1.515
24.Sep 2018|15.827|13.098|5.355|16.821|22.691|3.174|3.434|25.615|28.639|2.787|3.449|7.918|1.464|6.089|29.944|19.734|19.327|1.948|1.155|5.271|2.677|14.514|40.146|5.956|5.499|33.024|2.473|15.951|67.171|3.505|21.763|30.580|1.529
25.Sep 2018|15.781|13.097|5.279|16.786|22.522|3.165|3.434|25.615|28.644|2.785|3.448|7.904|1.458|6.076|29.922|19.598|19.293|1.945|1.146|5.258|2.676|14.476|40.021|5.967|5.494|33.112|2.474|15.928|67.053|3.541|21.752|30.546|1.513
26.Sep 2018|15.802|13.091|5.342|16.833|22.519|3.174|3.433|25.605|28.728|2.793|3.447|7.907|1.464|6.080|30.050|19.864|19.308|1.956|1.146|5.269|2.682|14.495|40.173|5.979|5.493|33.081|2.468|15.978|67.221|3.566|21.819|30.634|1.525
27.Sep 2018|15.873|13.150|5.433|16.807|22.614|3.194|3.447|25.715|28.897|2.811|3.461|7.944|1.473|6.096|30.260|19.981|19.458|1.976|1.164|5.306|2.706|14.579|40.586|6.011|5.507|33.439|2.492|16.097|67.750|3.652|21.967|30.824|1.557
01.Oct 2018|16.031|13.173|5.485|17.331|22.581|3.232|3.456|25.765|28.921|2.836|3.466|7.974|1.489|6.099|30.447|19.927|19.480|1.997|1.194|5.362|2.727|14.661|41.074|6.021|5.528|33.844|2.494|16.202|68.839|3.730|22.201|30.975|1.568
